epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,6187.57,2.07531,1.21948,1.83846,0.7922,0.38028,0.40166,0.15588,4.66681,3.09502,2.86943,0.0005744,0.0005744,0.0005744
182,6221.67,2.04056,1.22725,1.85421,0.75193,0.37324,0.39123,0.15191,4.64225,2.85098,2.87262,0.00056648,0.00056648,0.00056648
183,6255.89,2.12558,1.20138,1.86775,0.77417,0.35211,0.37262,0.14109,4.74696,3.1267,2.91089,0.00055856,0.00055856,0.00055856
184,6290.15,2.05809,1.26876,1.86949,0.72003,0.38035,0.39115,0.14867,4.72513,3.16764,2.8995,0.00055064,0.00055064,0.00055064
185,6324.38,2.02407,1.18289,1.83566,0.78406,0.358,0.39687,0.15057,4.58506,2.85507,2.87892,0.00054272,0.00054272,0.00054272
186,6358.51,2.05344,1.27045,1.83635,0.73233,0.35915,0.38309,0.15144,4.71027,2.79608,2.94462,0.0005348,0.0005348,0.0005348
187,6392.63,2.05543,1.25777,1.82464,0.82019,0.32394,0.37203,0.1405,4.82991,2.80635,2.91655,0.00052688,0.00052688,0.00052688
188,6426.87,1.99033,1.19559,1.82443,0.68974,0.35915,0.35394,0.13276,4.90968,2.96108,2.97111,0.00051896,0.00051896,0.00051896
189,6460.94,2.10864,1.24322,1.86305,0.81557,0.33803,0.39232,0.14362,4.75729,2.64299,2.94746,0.00051104,0.00051104,0.00051104
190,6495.05,2.00677,1.20317,1.84678,0.78358,0.38028,0.43056,0.15821,4.67788,2.95656,2.90956,0.00050312,0.00050312,0.00050312
191,6529.27,2.12786,1.24666,1.85635,0.79822,0.35211,0.40765,0.15622,4.72468,2.85004,2.93871,0.0004952,0.0004952,0.0004952
192,6563.39,1.95073,1.15936,1.81595,0.68148,0.39175,0.4073,0.16351,4.60325,2.37995,2.918,0.00048728,0.00048728,0.00048728
193,6597.5,2.01696,1.18748,1.81039,0.8111,0.36289,0.40856,0.1614,4.58608,2.68588,2.92773,0.00047936,0.00047936,0.00047936
194,6631.72,1.99949,1.19505,1.83278,0.77271,0.37324,0.42383,0.15435,4.77435,2.36129,2.91305,0.00047144,0.00047144,0.00047144
195,6665.81,1.99228,1.26667,1.84766,0.85446,0.35915,0.39076,0.15235,4.75142,2.42948,2.92758,0.00046352,0.00046352,0.00046352
196,6699.85,1.969,1.18327,1.83437,0.76921,0.35915,0.38613,0.15858,4.44147,2.38964,2.85319,0.0004556,0.0004556,0.0004556
197,6733.96,1.96034,1.16072,1.81973,0.68521,0.38028,0.3971,0.15601,4.51447,2.56906,2.88311,0.00044768,0.00044768,0.00044768
198,6768.26,2.02622,1.17052,1.80887,0.65782,0.39437,0.40422,0.15706,4.53761,2.66728,2.83193,0.00043976,0.00043976,0.00043976
199,6802.53,1.90597,1.11162,1.81348,0.79196,0.34853,0.40868,0.15034,4.6149,2.77388,2.85675,0.00043184,0.00043184,0.00043184
200,6836.75,1.92238,1.09554,1.82014,0.79716,0.38732,0.41235,0.16252,4.56597,3.04479,2.85683,0.00042392,0.00042392,0.00042392
201,6870.95,1.95941,1.15126,1.81595,0.83967,0.35915,0.40919,0.15413,4.5689,3.02788,2.82694,0.000416,0.000416,0.000416
202,6905.04,1.96929,1.14365,1.83038,0.79604,0.35733,0.40197,0.16057,4.49753,2.69957,2.80902,0.00040808,0.00040808,0.00040808
203,6939.09,1.98639,1.14012,1.82424,0.83531,0.3572,0.39692,0.15485,4.52482,2.67141,2.81922,0.00040016,0.00040016,0.00040016
204,6973.28,1.89887,1.13956,1.83253,0.72804,0.38028,0.40733,0.14915,4.54569,2.7905,2.81142,0.00039224,0.00039224,0.00039224
205,7007.26,1.89458,1.09203,1.79196,0.77279,0.33535,0.37315,0.1368,4.64617,2.54277,2.88088,0.00038432,0.00038432,0.00038432
206,7041.27,1.8405,1.07833,1.77411,0.82237,0.35915,0.40449,0.15171,4.60353,2.48489,2.90108,0.0003764,0.0003764,0.0003764
207,7075.47,1.88178,1.07779,1.81066,0.8257,0.34507,0.3948,0.14664,4.68304,2.6417,2.89926,0.00036848,0.00036848,0.00036848
208,7109.55,1.88272,1.14212,1.79395,0.75221,0.35915,0.37548,0.1477,4.71832,2.69179,2.93571,0.00036056,0.00036056,0.00036056
209,7143.74,1.91285,1.11934,1.80896,0.75322,0.3662,0.37928,0.15114,4.63678,2.66014,2.9453,0.00035264,0.00035264,0.00035264
210,7177.84,1.9776,1.1474,1.79425,0.76251,0.3618,0.3993,0.15501,4.65308,2.49975,2.93397,0.00034472,0.00034472,0.00034472
211,7212.1,1.87531,1.0584,1.78905,0.78696,0.35915,0.39217,0.15112,4.65592,2.84845,2.92704,0.0003368,0.0003368,0.0003368
212,7246.31,1.87597,1.1533,1.81209,0.78458,0.3662,0.40851,0.15243,4.65004,2.77168,2.90688,0.00032888,0.00032888,0.00032888
213,7280.26,1.87673,1.09554,1.79604,0.77324,0.3662,0.39831,0.15317,4.72737,3.05304,2.93842,0.00032096,0.00032096,0.00032096
214,7314.49,1.85604,1.12775,1.78706,0.7633,0.35915,0.38637,0.14921,4.71619,2.66819,2.94684,0.00031304,0.00031304,0.00031304
215,7348.58,1.88034,1.08845,1.79918,0.82949,0.35915,0.39154,0.1501,4.72766,2.65993,2.89848,0.00030512,0.00030512,0.00030512
216,7382.84,1.94703,1.11844,1.81551,0.74477,0.36992,0.3929,0.15607,4.60916,2.85765,2.8613,0.0002972,0.0002972,0.0002972
217,7417.19,1.86307,1.07131,1.79954,0.6994,0.39325,0.3906,0.15303,4.68166,2.90584,2.8855,0.00028928,0.00028928,0.00028928
218,7451.47,1.84373,1.13755,1.81356,0.82335,0.38732,0.40078,0.15882,4.65055,2.81818,2.88883,0.00028136,0.00028136,0.00028136
219,7485.6,1.9594,1.1231,1.78923,0.84237,0.37636,0.40423,0.15457,4.66705,2.89071,2.89334,0.00027344,0.00027344,0.00027344
220,7519.71,1.80327,1.04458,1.77331,0.85398,0.37324,0.41671,0.15792,4.64937,2.88191,2.90017,0.00026552,0.00026552,0.00026552
221,7553.81,1.85994,1.10724,1.81423,0.76991,0.37705,0.4133,0.15946,4.5517,2.98094,2.86818,0.0002576,0.0002576,0.0002576
222,7587.66,1.92786,1.14833,1.79165,0.80211,0.37324,0.39893,0.15795,4.63624,2.9369,2.88214,0.00024968,0.00024968,0.00024968
223,7621.73,1.88294,1.08483,1.79924,0.81419,0.37033,0.40402,0.16368,4.58998,2.666,2.86266,0.00024176,0.00024176,0.00024176
224,7656.04,1.77111,1.01754,1.78114,0.87641,0.38732,0.4183,0.15928,4.5744,2.86185,2.8427,0.00023384,0.00023384,0.00023384
225,7690.26,1.81301,1.05141,1.81,0.81692,0.38732,0.39856,0.15619,4.54176,3.16927,2.84638,0.00022592,0.00022592,0.00022592
226,7724.52,1.77867,1.03804,1.79186,0.79208,0.38028,0.39318,0.15313,4.62342,3.14076,2.84991,0.000218,0.000218,0.000218
227,7758.73,1.79978,1.04097,1.79259,0.77918,0.38028,0.4008,0.15262,4.65624,3.23693,2.88602,0.00021008,0.00021008,0.00021008
228,7792.9,1.8268,1.04644,1.78672,0.75356,0.3662,0.39749,0.15089,4.62335,3.01439,2.92173,0.00020216,0.00020216,0.00020216
229,7826.81,1.86448,1.0582,1.80208,0.73099,0.36361,0.38722,0.15199,4.60427,2.89528,2.86597,0.00019424,0.00019424,0.00019424
230,7860.81,1.67614,0.9527,1.76064,0.85596,0.37665,0.42026,0.15786,4.65948,2.82691,2.88903,0.00018632,0.00018632,0.00018632
231,7894.79,1.80474,1.05613,1.78042,0.83906,0.37324,0.40903,0.15614,4.69471,2.95499,2.93241,0.0001784,0.0001784,0.0001784
232,7928.73,1.77084,0.98248,1.78662,0.7681,0.37324,0.39927,0.1557,4.66936,3.05203,2.90289,0.00017048,0.00017048,0.00017048
233,7962.79,1.78042,1.03495,1.79095,0.74939,0.37324,0.39235,0.15219,4.66537,3.1553,2.90758,0.00016256,0.00016256,0.00016256
234,7996.89,1.75522,1.00568,1.73365,0.76081,0.39437,0.40617,0.15511,4.67062,3.00463,2.90131,0.00015464,0.00015464,0.00015464
235,8031.03,1.82052,1.00288,1.79176,0.7502,0.38028,0.38589,0.15328,4.69618,3.03323,2.91647,0.00014672,0.00014672,0.00014672
236,8065.39,1.82241,1.03132,1.79207,0.79413,0.35915,0.38311,0.15339,4.71584,2.88327,2.92283,0.0001388,0.0001388,0.0001388
237,8099.61,1.83434,1.04467,1.79686,0.84629,0.37324,0.39793,0.15516,4.69309,2.85316,2.90342,0.00013088,0.00013088,0.00013088
238,8133.7,1.8099,1.01559,1.78393,0.80881,0.35915,0.37924,0.15594,4.70741,2.89264,2.91193,0.00012296,0.00012296,0.00012296
239,8167.77,1.72267,0.98322,1.75174,0.81488,0.37202,0.38681,0.15925,4.69436,2.80674,2.90803,0.00011504,0.00011504,0.00011504
240,8202.03,1.6896,0.96322,1.76927,0.8225,0.35211,0.38783,0.16125,4.67828,2.90853,2.89898,0.00010712,0.00010712,0.00010712
241,8235.37,1.76663,0.97581,1.73907,0.82512,0.35211,0.38169,0.15076,4.68718,3.14657,2.92738,9.92e-05,9.92e-05,9.92e-05
242,8268.82,1.73214,0.96006,1.72268,0.78042,0.35211,0.36567,0.14439,4.6636,2.96715,2.92759,9.128e-05,9.128e-05,9.128e-05
243,8302.3,1.6834,0.90636,1.73609,0.82928,0.35211,0.38215,0.14759,4.68994,2.77722,2.93022,8.336e-05,8.336e-05,8.336e-05
244,8335.82,1.67782,0.91738,1.75185,0.74685,0.3662,0.37831,0.14461,4.74403,2.7091,2.92954,7.544e-05,7.544e-05,7.544e-05
245,8369.21,1.64552,0.88381,1.72505,0.84788,0.3662,0.38414,0.1509,4.68784,2.66437,2.90733,6.752e-05,6.752e-05,6.752e-05
246,8402.69,1.60962,0.87283,1.72527,0.85688,0.3662,0.38892,0.15727,4.63026,2.66899,2.90162,5.96e-05,5.96e-05,5.96e-05
247,8435.89,1.57997,0.90796,1.68888,0.83315,0.35165,0.36891,0.15134,4.64693,2.67163,2.89965,5.168e-05,5.168e-05,5.168e-05
248,8469.04,1.62332,0.87032,1.70948,0.8302,0.35915,0.37393,0.15087,4.65209,2.68937,2.88109,4.376e-05,4.376e-05,4.376e-05
249,8502.39,1.56337,0.82982,1.71155,0.82073,0.35211,0.37325,0.14981,4.65716,2.68381,2.87845,3.584e-05,3.584e-05,3.584e-05
250,8535.57,1.59553,0.89027,1.7008,0.83081,0.35211,0.37297,0.14927,4.65857,2.69803,2.8828,2.792e-05,2.792e-05,2.792e-05
