epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1441.48,3.60667,3.20965,2.42899,0.24909,0.11268,0.10237,0.03593,5.20646,4.75577,3.06144,0.00167528,0.00167528,0.00167528
43,1475.8,3.73218,3.3126,2.42887,0.16782,0.17606,0.09297,0.0297,5.30511,5.29311,2.98298,0.00166736,0.00166736,0.00166736
44,1509.71,3.64617,3.42109,2.42889,0.19794,0.14085,0.08471,0.02375,5.09954,4.5903,2.93285,0.00165944,0.00165944,0.00165944
45,1543.9,3.80145,3.30807,2.40818,0.19306,0.16197,0.08015,0.02169,5.41777,5.75916,3.08098,0.00165152,0.00165152,0.00165152
46,1578.13,3.52742,3.12247,2.34833,0.17195,0.12676,0.10687,0.03068,5.03371,4.46165,2.92693,0.0016436,0.0016436,0.0016436
47,1612.18,3.506,3.02246,2.34488,0.22693,0.19014,0.13368,0.0385,4.73561,4.85545,2.92816,0.00163568,0.00163568,0.00163568
48,1646.43,3.56172,3.21367,2.39671,0.20969,0.1338,0.11301,0.03449,5.33751,4.43712,3.02596,0.00162776,0.00162776,0.00162776
49,1680.57,3.56418,3.11746,2.34821,0.32104,0.15493,0.12962,0.04193,4.91444,4.41154,3.07534,0.00161984,0.00161984,0.00161984
50,1714.83,3.58463,3.1755,2.39556,0.38278,0.21127,0.19804,0.05724,5.14368,4.70754,3.11182,0.00161192,0.00161192,0.00161192
51,1749.1,3.56013,3.01323,2.36964,0.21614,0.14789,0.11516,0.03631,5.01432,nan,2.97409,0.001604,0.001604,0.001604
52,1783.27,3.51709,3.15346,2.33434,0.17171,0.16197,0.10585,0.03578,4.90748,nan,3.02861,0.00159608,0.00159608,0.00159608
53,1817.33,3.50143,3.04185,2.35093,0.15228,0.19718,0.10137,0.03162,5.23108,4.71846,2.94675,0.00158816,0.00158816,0.00158816
54,1851.59,3.54075,2.93689,2.32839,0.22429,0.1831,0.11666,0.03944,5.22339,5.00802,3.00098,0.00158024,0.00158024,0.00158024
55,1885.85,3.42521,2.92683,2.2932,0.30811,0.1819,0.14599,0.04377,5.0945,4.98806,2.96159,0.00157232,0.00157232,0.00157232
56,1920.26,3.32979,2.85719,2.28189,0.19935,0.19014,0.12215,0.03426,5.10078,nan,2.94532,0.0015644,0.0015644,0.0015644
57,1954.51,3.40189,2.90318,2.31133,0.3054,0.19718,0.14584,0.0446,4.99669,4.93604,2.88455,0.00155648,0.00155648,0.00155648
58,1988.77,3.40961,2.88905,2.32016,0.31848,0.16457,0.13279,0.04065,5.14653,4.83551,2.90807,0.00154856,0.00154856,0.00154856
59,2023.08,3.33448,2.75967,2.27926,0.32126,0.16901,0.15157,0.04931,5.12435,4.63361,2.97179,0.00154064,0.00154064,0.00154064
60,2057.27,3.37411,2.86794,2.28531,0.3708,0.24648,0.21485,0.06664,4.7287,nan,2.93668,0.00153272,0.00153272,0.00153272
61,2091.58,3.27449,2.74906,2.27811,0.31164,0.22535,0.17383,0.05279,4.9174,4.31454,2.92141,0.0015248,0.0015248,0.0015248
62,2125.8,3.30235,2.79879,2.23099,0.4958,0.14085,0.15603,0.05114,nan,nan,nan,0.00151688,0.00151688,0.00151688
63,2159.92,3.29706,2.70331,2.24432,0.30148,0.21831,0.18091,0.0632,4.88537,4.69848,2.84571,0.00150896,0.00150896,0.00150896
64,2194.15,3.15219,2.60386,2.21123,0.24807,0.22535,0.16947,0.05308,4.62708,4.12461,2.84699,0.00150104,0.00150104,0.00150104
